sex,race,household_income,education,state,age_int,vote_trump,cell,high_income,high_education
Female,White,"$75,000 to $79,999",Associate Degree,WI,41-50,1,"White Associate Degree $75,000 to $79,999",0,1
Female,White,"$175,000 to $199,999",College Degree,VA,41-50,1,"White College Degree $175,000 to $199,999",1,1
Female,White,"$65,000 to $69,999",Highschool,TX,71-80,1,"White Highschool $65,000 to $69,999",0,0
Female,White,"Less than $14,999",Highschool,WA,51-60,1,"White Highschool Less than $14,999",0,0
Female,White,"$80,000 to $84,999",Highschool,MA,21-30,0,"White Highschool $80,000 to $84,999",0,0
Female,Black/African American,"Less than $14,999",Highschool,TX,31-40,0,"Black/African American Highschool Less than $14,999",0,0
Female,White,"$40,000 to $44,999",Highschool,CA,61-70,1,"White Highschool $40,000 to $44,999",0,0
Female,White,"$100,000 to $124,999",College Degree,NC,51-60,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$20,000 to $24,999",College Degree,MD,71-80,1,"White College Degree $20,000 to $24,999",0,1
Female,White,"$60,000 to $64,999",Highschool,FL,51-60,0,"White Highschool $60,000 to $64,999",0,0
Female,White,"$15,000 to $19,999",Highschool,WV,61-70,1,"White Highschool $15,000 to $19,999",0,0
Female,White,"$30,000 to $34,999",Highschool,OH,41-50,0,"White Highschool $30,000 to $34,999",0,0
Female,White,"$30,000 to $34,999",College Degree,NY,80up,0,"White College Degree $30,000 to $34,999",0,1
Female,White,"$40,000 to $44,999",Highschool,KY,21-30,0,"White Highschool $40,000 to $44,999",0,0
Male,White,"$150,000 to $174,999",College Degree,IN,71-80,1,"White College Degree $150,000 to $174,999",1,1
Male,White,"Less than $14,999",College Degree,WA,41-50,0,"White College Degree Less than $14,999",0,1
Female,White,"$40,000 to $44,999",College Degree,IA,71-80,1,"White College Degree $40,000 to $44,999",0,1
Female,White,"$75,000 to $79,999",College Degree,SC,51-60,1,"White College Degree $75,000 to $79,999",0,1
Male,White,"$85,000 to $89,999",Associate Degree,MN,61-70,0,"White Associate Degree $85,000 to $89,999",0,1
Female,White,"$90,000 to $94,999",Highschool,GA,61-70,1,"White Highschool $90,000 to $94,999",0,0
Female,White,"$75,000 to $79,999",Masters&Doc,PA,31-40,1,"White Masters&Doc $75,000 to $79,999",0,1
Female,White,"$60,000 to $64,999",College Degree,NJ,61-70,0,"White College Degree $60,000 to $64,999",0,1
Female,White,"$30,000 to $34,999",Associate Degree,VA,31-40,1,"White Associate Degree $30,000 to $34,999",0,1
Female,White,"$100,000 to $124,999",Highschool,SC,71-80,1,"White Highschool $100,000 to $124,999",0,0
Female,White,"$100,000 to $124,999",Associate Degree,TX,61-70,1,"White Associate Degree $100,000 to $124,999",0,1
Female,Black/African American,"Less than $14,999",Highschool,FL,21-30,0,"Black/African American Highschool Less than $14,999",0,0
Female,White,"$65,000 to $69,999",Masters&Doc,AZ,61-70,0,"White Masters&Doc $65,000 to $69,999",0,1
Male,White,"$45,000 to $49,999",Masters&Doc,IL,71-80,0,"White Masters&Doc $45,000 to $49,999",0,1
Male,White,"$75,000 to $79,999",Highschool,OH,61-70,1,"White Highschool $75,000 to $79,999",0,0
Female,White,"$80,000 to $84,999",Masters&Doc,OH,51-60,0,"White Masters&Doc $80,000 to $84,999",0,1
Male,White,"$40,000 to $44,999",Highschool,CA,71-80,0,"White Highschool $40,000 to $44,999",0,0
Female,White,"$20,000 to $24,999",Masters&Doc,FL,31-40,1,"White Masters&Doc $20,000 to $24,999",0,1
Female,Black/African American,"$65,000 to $69,999",College Degree,NC,61-70,0,"Black/African American College Degree $65,000 to $69,999",0,1
Male,White,"$200,000 to $249,999",College Degree,TX,31-40,0,"White College Degree $200,000 to $249,999",1,1
Female,White,"$150,000 to $174,999",Masters&Doc,FL,31-40,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$95,000 to $99,999",College Degree,TX,31-40,0,"White College Degree $95,000 to $99,999",0,1
Female,White,"$80,000 to $84,999",College Degree,NJ,41-50,0,"White College Degree $80,000 to $84,999",0,1
Female,White,"Less than $14,999",Highschool,OR,71-80,1,"White Highschool Less than $14,999",0,0
Female,White,"$25,000 to $29,999",College Degree,PA,51-60,1,"White College Degree $25,000 to $29,999",0,1
Female,Black/African American,"$100,000 to $124,999",College Degree,PA,71-80,0,"Black/African American College Degree $100,000 to $124,999",0,1
Female,White,"$80,000 to $84,999",Highschool,NC,61-70,0,"White Highschool $80,000 to $84,999",0,0
Female,White,"$35,000 to $39,999",Highschool,TX,31-40,1,"White Highschool $35,000 to $39,999",0,0
Male,other asian or pacific islander,"$75,000 to $79,999",Masters&Doc,VA,31-40,1,"other asian or pacific islander Masters&Doc $75,000 to $79,999",0,1
Male,White,"$95,000 to $99,999",Masters&Doc,OH,61-70,1,"White Masters&Doc $95,000 to $99,999",0,1
Female,Chinese,"$125,000 to $149,999",College Degree,CA,31-40,0,"Chinese College Degree $125,000 to $149,999",0,1
Female,White,"$85,000 to $89,999",Masters&Doc,IL,51-60,0,"White Masters&Doc $85,000 to $89,999",0,1
Female,White,"$100,000 to $124,999",College Degree,NC,71-80,1,"White College Degree $100,000 to $124,999",0,1
Female,White,"$50,000 to $54,999",Highschool,MI,51-60,0,"White Highschool $50,000 to $54,999",0,0
Female,White,"$150,000 to $174,999",Masters&Doc,CA,18-20,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$65,000 to $69,999",Highschool,MI,41-50,0,"White Highschool $65,000 to $69,999",0,0
Male,White,"$30,000 to $34,999",Masters&Doc,CT,31-40,0,"White Masters&Doc $30,000 to $34,999",0,1
Female,White,"$50,000 to $54,999",College Degree,NC,61-70,1,"White College Degree $50,000 to $54,999",0,1
Female,White,"$45,000 to $49,999",Associate Degree,CT,71-80,1,"White Associate Degree $45,000 to $49,999",0,1
Female,White,"$40,000 to $44,999",Masters&Doc,NC,31-40,1,"White Masters&Doc $40,000 to $44,999",0,1
Female,White,"$30,000 to $34,999",Associate Degree,OR,61-70,1,"White Associate Degree $30,000 to $34,999",0,1
Female,White,"$100,000 to $124,999",Masters&Doc,IL,61-70,1,"White Masters&Doc $100,000 to $124,999",0,1
Female,White,"$30,000 to $34,999",Masters&Doc,CA,51-60,1,"White Masters&Doc $30,000 to $34,999",0,1
Female,White,"$150,000 to $174,999",Masters&Doc,FL,61-70,0,"White Masters&Doc $150,000 to $174,999",1,1
Female,White,"$35,000 to $39,999",College Degree,IA,51-60,0,"White College Degree $35,000 to $39,999",0,1
